date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:02	129180/129180	---M-Z	200	added ('OK')	text/html	etag:%221f89c-638dab02c20fb-gzip%22	https://themesdesign.in/nazox/layouts/layouts-boxed.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-boxed.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:02	129426/129426	---M-Z	200	added ('OK')	text/html	etag:%221f992-638dab02c4fdb-gzip%22	https://themesdesign.in/nazox/layouts/layouts-preloader.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-preloader.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:02	129136/129136	---M-Z	200	added ('OK')	text/html	etag:%221f870-638dab02c309b-gzip%22	https://themesdesign.in/nazox/layouts/layouts-colored-sidebar.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-colored-sidebar.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:03	135040/135040	---M-Z	200	added ('OK')	text/html	etag:%2220f80-638dab02c309b-gzip%22	https://themesdesign.in/nazox/layouts/layouts-horizontal.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-horizontal.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:03	127633/127633	---M-Z	200	added ('OK')	text/html	etag:%221f291-638dab02c309b-gzip%22	https://themesdesign.in/nazox/layouts/layouts-hori-topbar-light.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-hori-topbar-light.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:03	135093/135093	---M-Z	200	added ('OK')	text/html	etag:%2220fb5-638dab02c309b-gzip%22	https://themesdesign.in/nazox/layouts/layouts-hori-boxed-width.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-hori-boxed-width.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:03	134852/134852	---M-Z	200	added ('OK')	text/html	etag:%2220ec4-638dab02c309b-gzip%22	https://themesdesign.in/nazox/layouts/layouts-hori-preloader.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-hori-preloader.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:04	135063/135063	---M-Z	200	added ('OK')	text/html	etag:%2220f97-638dab02c309b-gzip%22	https://themesdesign.in/nazox/layouts/layouts-hori-colored-header.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/layouts-hori-colored-header.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:04	6078/6078	---M-Z	200	added ('OK')	text/html	etag:%2217be-638dab02c01bb-gzip%22	https://themesdesign.in/nazox/layouts/auth-login.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/auth-login.html	(from https://themesdesign.in/nazox/layouts/index.html)
18:10:04	6160/6160	---M-Z	200	added ('OK')	text/html	etag:%221810-638dab02c01bb-gzip%22	https://themesdesign.in/nazox/layouts/auth-register.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/auth-register.html	(from https://themesdesign.in/nazox/layouts/index.html)
